title,description,appId
BIWAPP,"BIWAPP is the Citizen Information & Warning App. Current information, warnings and disaster reports for your selected locations and the selected area are sent directly to your smartphone.\r\nSpecify individually which topics you would like to be informed about, e.g. School absenteeism, traffic accidents, fire, flooding, bomb disposal or general warnings. All messages are written and created by your municipality. Your municipality alone decides which information is to be set. So you always have all the important messages from your region up to date.\r\n\r\nFunctions\r\n-News:\r\nInformation and warning messages from your region, directly from your municipality.\r\n\r\n-My locations:\r\nSelection of an unlimited number of locations for which you would like to receive information, as well as individual definition of the area using convenient list or map selection.\r\n\r\n- emergency call:\r\nEstablishing a direct connection to the police and fire brigade.\r\n\r\n-Location function in an emergency:\r\nDisplay of your current location (alternative specification of geocoordinates if you are in open area).\r\n\r\n- Guard function:\r\nWhen activated, you will receive messages and information for your current location. Also possible via push message.\r\n\r\n-Weather service:\r\nReceive the reports from the German Weather Service directly in BIWAPP\r\n\r\n-Topics:\r\nFire / major fire, chemical accident, school failure, (animal) epidemic, earthquake / landslide, traffic accident, major damage situation, warnings, floods, storms / DWD, bomb findings, information, avalanche, search for a law enforcement officer, police report.\r\n\r\n- Medical on-call service:\r\nDirect link to the medical on-call service with all important information.\r\n\r\n- Warning function:\r\nFrom now on, current reports can be warned. In the event of an all-clear, you will receive a new push message that relates directly to the message.\r\n\r\n-Tips and behaviors:\r\nFrom the Federal Office for Civil Protection and Disaster Relief\r\n\r\n-Important information:\r\nFor prevention and self-help in the event of special dangers\r\n\r\n-Individualizations:\r\nDifferent warning tones for messages and disasters\r\nShare messages with your friends\r\nRecommendation function\r\n\r\nFurther information on BIWAPP is available at http://www.biwapp.de\r\n\r\nA data connection (WLAN or mobile) is required to use BIWAPP and receive the information. Make sure you have an adequate internet connection for quick updates. To use the location function, the location services must be activated on your smartphone. Permanent activation of the location search can reduce the battery power of your smartphone.\r\nWarranty and liability claims of any kind through the use of BIWAPP are excluded.\r\n\r\nDo you have any questions or suggestions for improvement? Please send them by email to info@biwapp.de",de.mplg.biwapp
Buienalarm,"Never be surprised by a rain shower again? With Buienalarm you get:\r\n\r\n✔️ Accurate precipitation chart for the next two hours\r\n✔️ Alerts for approaching showers\r\n✔️ Interactive radar map for the next two hours\r\n✔️ Hourly weather and an extensive forecast up to 14 days ahead.\r\n\r\nRainfall radar and rain forecast\r\n\r\nBuienalarm also has an animated radar map with the precipitation forecast for the next two hours, accurate to 5 minutes. Buienalarm warns you of approaching (rain) showers, based on your location and/or set locations. Feel free to leave the laundry outside, put on your rain suit before it starts pouring or hide in a tent in time at a festival before there is no room left!\r\n\r\n14 day forecast\r\n\r\nFinally, Buienalarm has an extensive weather page. This way you can see the weather per hour, but also an extensive forecast for the next 14 days!\r\n\r\nWith your help, we are continuously working to make Buienalarm even more reliable and faster.\r\n\r\nDo you have suggestions or a question? Give your feedback via 'Report a problem'. Works in the Netherlands, Belgium and parts of Germany.",org.yoki.android.buienalarm
Buoyweather - Marine Weather,"Buoyweather provides the most important information needed to bring joy to your time on the water. Make use of the most accurate marine weather forecasts to plan ahead for your trip offshore. Simply pick any point over water to receive a long range marine weather forecast at that latitude and longitude.\r\n\r\nWith Buoyweather you can:\r\n\r\n-Choose a Forecast Location at Any Point Offshore\r\n-View 2 or 7-Day Marine Weather Forecasts\r\n-View 2 or 7-Day Wind, Wave and Tide Forecasts\r\n-Save Unlimited Favorite Forecasts\r\n-Edit and Organize Favorites for Easy Access\r\n\r\nStay safe out on the water. Register now for access to free 2-day forecasts, and convert to premium for a full 7 days. Download now to get started!\r\n\r\nWe welcome feedback on our product. Submit questions or comments to our customer service team at: support@buoyweather.com.",com.buoyweather.android
Citizen: Local Safety Alerts,"The most powerful safety app for today’s world. Download Citizen to feel safer at home or out, get real-time safety alerts and live video of incidents happening near you, updates on natural disasters or protests, and know if your loved ones are near a dangerous incident. \r\n\r\nCitizen notifications have urged people to evacuate burning buildings, deterred school buses from nearby terrorist attacks and have even led to a rescue of a 1-year-old from a stolen car. Citizen may notify you of a crime in progress before the police have responded. It's meant to protect you and your community — please use it responsibly.\r\n\r\nNEW! See friends on your Safety Map: Know their safety status in a glance and find out if (and when) they are near a dangerous incident in real-time. You can turn on Ghost Mode to keep your location private at any time.  \r\n\r\nReal-time Safety Alerts: Location-based notifications help you avoid potentially dangerous situations.\r\n\r\nLive Breaking Video: Watch live video of an incident unfold from different angles or broadcast live from the scene.\r\n\r\nKeep Your Community Safe: Report incidents right when they happen to protect the people around you.\r\n\r\nCitizen also offers the Protect subscription, to help protect you and your loved ones. You can read the Terms of Use here: https://citizen.com/privacy/protect-supplemental-tos",sp0n.citizen
CodeRED Mobile Alert,"Thousands of public safety organizations across the United States and Canada use the CodeRED community notification system to initiate emergency notifications.  The CodeRED Mobile Alert app enables subscribers to receive these notifications directly to their personal cell phone whether at home, on the road, or traveling around the country. Alerts are initiated by authorized public safety officials to deliver location-based notifications and are not issued by OnSolve or its staff.  \r\n\r\n\r\nFree alerts available*\r\n\r\n\r\n•  Emergency  \r\n•  General  \r\n•  Missing person  \r\n\r\n\r\n*PLEASE NOTE: If the public safety agency covering your current location is not subscribed to the CodeRED service, you will not receive alerts through this application. If your city or state does not currently subscribe to CodeRED, contact your local public safety organization today to let them know that your community would benefit from this service.\r\n\r\n\r\nHelpful hints:\r\n\r\n\r\n•	Enable location services on your phone.\r\n•	Your app account and the account you create for your community’s CodeRED system are NOT associated with each other. You must create separate accounts.\r\n•	The CodeRED Mobile Alert app comes with a complimentary 30-day trial of CodeRED Enhanced Weather subscription that automatically alerts US-based subscribers of severe weather. The optional CodeRED Weather Warning add-on is an additional $0.99/year, but it is NOT required to receive emergency, general and missing person alerts.\r\n•	The app also features the ability to view local radar footage for the past hour and satellite imagery of the previous 24 hours.  \r\n\r\n\r\nQuestions or issues regarding the app? Before writing a negative review, please contact us – we’re here to help! Email us at crmasupport@onsolve.com or call toll-free at 866-533-6935.",com.ecnetwork.crma
Crises Control,"Crises Control helps organisations keep lines of communication open by making it easy to send notifications (SMS, Phone calls, Push Notifications and Emails) to any number of people at once, allowing for immediate, individual response with an automatic audit trail. Crises Control is invaluable for providing up-to-the minute notifications to users, minimizing the impact to people’s safety, damage to the environment and the organisation.",com.crises.control
CrisisGo,"CrisisGo helps prepare those individuals that are responsible for others during a crisis. By taking Emergency Response Plans out of an organization’s three-ring binder and putting them onto smart phones, iPads, and desktops, CrisisGo is putting emergency response plans into the palm of the hands of those who need it most. \r\n\r\nUse CrisisGo for: \r\n\r\n• Sending alert notifications to responders \r\n• Providing crisis checklists, communication messaging, and ongoing crisis text messaging \r\n• Presenting building maps for evacuations and rosters \r\n• Allowing for individual and broadcast video communications that are then recorded to the server \r\n\r\nKey Features: \r\n\r\n• A login and password from your organization is required \r\n• A web portal is used to update emergency plans to publish content to your iPhones and iPads \r\n• Continuous improvement is achieved by validating an emergency plan using the crisis checklist during drills \r\n• Make your organizations emergency plan actionable \r\n\r\nCrisisGo is the most complete mobile crisis response software available. \r\n\r\nCrisisGo is now working with school districts across the nation and in Canada to transform their existing emergency response plans into actionable checklists for their staff. \r\n\r\nQuestions? Contact our support team anytime at support@crisisgo.com. \r\n\r\nFor more information: www.crisisgo.com",com.linku.android.mobile_emergency.app.activity
Crisis Management,Zaxby's Crisis Management,com.zaxbys.crisismanagement
Crisis Management System,"This App helps to maintain information related to an incident, usually at a plant or in the process of transportation, that requires an onsite emergency response as well as immediate and long term decisions, actions and resources from the Senior Leadership.",com.gulbrandsen.crisismanagement
Crisis Management Toolkit,"Our crisis management application provides company executives and in-house counsel with critical information for use in reacting to potential crises. The app includes succinct checklists broken down by crisis type, a toll-free hotline to our crisis management legal team and the ability to build your own Crisis Management Team contact list.",com.pillsburylaw.crisismanagementtool
Crisis Messenger,"Crisis Messenger is an easy-to-use GPS Tracking solution, designed to keep you connected to our Crisis24 Situation Center at the touch of a button. \r\n\r\nCrisis Messenger’s features include:\r\n- Instant transmission of your smartphone’s GPS position (activated by you)\r\n- Direct calling to a phone number of your choice\r\n- Text-messaging (pre-programmed and custom messages)\r\n- Alert signal\r\n\r\nCrisis Messenger is an exclusive service for Crisis24-contracted companies and their employees.",com.crisis24.CrisisMessenger
Crisis Track™,"Crisis Track™ helps a community conduct damage assessments and process FEMA grant applications by integrating disaster management into an organization’s typical disaster workflows - clearing roads, inspecting buildings, maintaining parks, and mapping the community. The consolidation of these activities provides the emergency manager with a community-wide view of disaster management operations. Crisis Track Features include:\r\n\r\nPreliminary Damage Assessment - consistently conduct a preliminary damage assessment with little or no team training.\r\n\r\nRoad Closures - capture debris and damage information due to closures on roadways and bridges.\r\n\r\nForce Labor and Equipment Cost Tracking - accumulate disaster costs into the FEMA Preliminary Damage Assessment forms based on preloaded rates.\r\n\r\nEmergency Management Task Tracking - track typical and atypical emergency management tasks to help you keep appraised of their status.\r\n\r\nExecutive View – provide your leadership with real-time updates on disaster operations, current damage assessments, and FEMA declaration thresholds.\r\n\r\nDynamic Forms – update the in-field mobile apps upon request should your information needs change.\r\n\r\nFlexible Licensing – provide unlimited access to your departments and partner organizations.\r\n\r\nThe Crisis Track system will enhance your emergency management operations for a faster, more efficient, more collaborative disaster management process.",com.geopliant.crisistrack
Disaster Alert,"Disaster Alert is a free mobile app for public use that provides the global community with critical hazard alerts and information needed to stay safe anywhere in the world. Built on PDC’s DisasterAWARE®️ platform, Disaster Alert™️ offers near real-time updates about 18 different types of natural hazards as they are unfolding around the globe.\r\n\r\nWith Disaster Alert, you can customize early warning alerts, view estimated impact reports, and access visualized modeled hazard data. Disaster Alert’s continuous stream of new information is automatically generated from the most reliable, scientifically verified sources. When no official source is available, alerts are updated manually by Pacific Disaster Center, presenting only a small lapse of time between the time of an event and the availability of information in the system.\r\n\r\nHazard updates provided with Disaster Alert include only active hazards. “Active Hazards” are part of a collection of recent incidents that have been designated as potentially hazardous to people, property, or assets by PDC.\r\n\r\nINCLUDED HAZARD TYPES\r\n\r\n*Automatically processed in near real time:Hurricanes (tropical cyclones / typhoons), earthquakes, tsunamis, volcanos, floods, wildfires, U.S. tornados and winter storms.\r\n\r\n*Manually Processed: Marine hazards, storms, droughts, and manmade incidents. High surf advisories, high winds, and flash floods are available for Hawaii only.\r\n\r\nNEW IN VERSION 7.5.4\r\n\r\n*Default theme: The PDC theme has been applied as the default theme in Disaster Alert. The PDC theme integrates DisasterAWARE branding, colors, and iconography. Different themes may be applied from the User Preferences menu. \r\n\r\n*Multi-language login and registration: Disaster Alert users will be able to login and register in a variety of supported languages other than English. There is a dropdown selector at the top of the form that allows the user to change the language option. \r\n\r\n*Onboarding: We have introduced a new first-time user app setup feature Disaster Alert to allow customization of the alert location and hazard severity. This screen is displayed for all users upon update from prior version(s) to 7.5.4 as well as new installations. Users will be given the option to sign op, login, or skip directly to Disaster Alert as a guest without an account. Alert preferences may only be customized by registered users. \r\n\r\n*User registration email: Disaster Alert now supports additional registration email formats for plusaddressed (aka sub-addressed) email formats for new user registration forms.\r\n \r\nOTHER KEY FEATURES\r\n\r\n*Customizable alerts based on your geographic area of interest and hazard severity\r\n*When the map tip is activated by selecting a hazard on the map, users can get estimated impact information by choosing the ""More Info"" link and viewing Hazard Brief.  \r\n* Interactive map interface displays 18 different types of active hazards\r\n*Customizable background maps\r\n*Map layers with overlays for population densities, global cloud coverage, and more.",disasterAlert.PDC
Disaster Alert for BD,"Disaster Alert for BD App is a platform to help & rescue people from any natural disasters such as floods, drought, fire, tsunami, etc.\r\nIt is a mobile-based online platform where people can send a rescue request to their nearest volunteer. The volunteer can also get the contact number of the volunteer. The location of the victim after accepting the request with his/her contact number. When a volunteer accepts the rescue request of an individual, the person and also can the volunteer’s contact number. A volunteer also can send help-seeking requests to other volunteers. Victim can send emergency SMS to their FnF with a single tap through the app, where in the SMS a predefined text with the current location and battery percentage will be sent automatically to the FnF. \r\nThrough the app, people can see the current and upcoming disaster alerts with the signals. The level of alert will be easily understandable by its color-changing notification. People will also see dos and don’ts as a checklist for different disasters.\r\n People can also see the emergency contacts of their local authorities,  nearest hospitals, shelters, relief centers.",com.sslwireless.dmr
Disaster Control,Learn About Natural Calamities\r\nEarthQuakes\r\nCyclone\r\nChemical and Industrial Hazard\r\nFlood\r\nNuclear Disaster\r\nTsunami\r\nFire\r\n\r\n\r\nDo and Dont's of\r\n\r\nEarthQuakes\r\nCyclone\r\nChemical and Industrial Hazard\r\nFlood\r\nNuclear Disaster\r\nTsunami\r\nFire,com.api.disastercontrol
Disaster Management,"Disaster Management app can be used as a user guide to know about natural disasters, man made disasters, disaster management life cycle, emergency kit etc. It includes details of help line centres with in-built calling feature. Mobile app also provides information related to earthquakes, floods, landslides, cyclones, tsunamis, urban floods and heat wave etc.",com.cdac.disaster
Disaster Management,"This App shows you to reduce vulnerability to hazards and cope with disasters, it focuses on creating plans to decrease the effect of disasters.",com.iv.disastermanagment
Diseases Treatments Dictionary,"Diseases Treatments Dictionary is complete solutions for learning all diseases and their treatments with FREE and OFFLINE app that provides comprehensive information all diseases and disorders. The app includes information of symptoms, causes, treatments, risk factor, epidemiology, history, and prevention. It also includes a medical drugs information's.\r\n\r\nits an essential app for layman's also. who wants to learn more about diseases and disorders. It is especially useful for people who are interested in self-care or who want to be better informed about their health. The app is also a valuable resource for healthcare professionals, Medical students, and anyone who works in the medical field.\r\n\r\nSimply search any disease or disorder to get started. The app will display a list of results that match your search. You can then select a result to view more information. The information includes symptoms, causes, treatments, and prevention. You can also view a medical illustration of the disease or disorder.\r\n\r\nHere are some of the features of Diseases Treatments Dictionary:\r\nComprehensive information of every diseases and disorders\r\nInformation on symptoms, causes, treatments, and prevention\r\nEasy to use search function\r\nOffline access\r\n\r\nHere are some of the benefits of using Diseases Treatments Dictionary:\r\nLearn about diseases and disorders with medicals info's\r\nUnderstand the symptoms, causes, treatments, and prevention of diseases\r\nImprove your health literacy\r\nUnderstand your body conditions\r\nMake informed decisions about your health\r\nStay up-to-date on the checker of latest medical information\r\n\r\nHere are some of the diseases and disorders that are covered in the app:\r\nAcne\r\nAllergies\r\nAlzheimer's disease\r\nAnemia\r\nAnxiety\r\nArthritis\r\nAsthma\r\nBack pain\r\nCancer\r\nCataracts\r\nCholesterol\r\nCommon cold\r\nDepression\r\nDiabetes\r\nErectile dysfunction\r\nEye problems\r\nFlu\r\nHeart disease\r\nHigh blood pressure\r\nHigh cholesterol\r\nInsomnia\r\nKidney disease\r\nLiver disease\r\nLung cancer\r\nMental health disorders\r\nMigraines\r\nObesity\r\nOsteoarthritis\r\nPain\r\nParkinson's disease\r\nPregnancy\r\nProstate cancer\r\nStroke\r\nStomach ulcers\r\nThyroid problems\r\nUrinary tract infections\r\nVertigo\r\nVision problems\r\nWeight loss\r\nWrinkles\r\n\r\nIf you want to improve your knowledge and skills. This will definitely help you.\r\n\r\nDISCLAIMER:\r\nApp content provided on this is for reference & educational purposes only. Consult a doctor before the actual usage of any of the information in this app.",com.diseases.treatment_dictionary
DIVERA 24/7 Availability,"Call and response system for firefighters, paramedics and all other people in public safety.\r\n\r\nFeatures:\r\n\r\n+ Response in realtime\r\n+ Geofence/GPS\r\n+ Pre-planning and monitoring\r\n+ Warning in the case of personal deficiency\r\n+ Communication and messaging\r\n+ Various alarm sounds",com.divera247.personal
